case_id,crime_description,crime_category,location_type,victim_count,accused_count,weapon_used,intent,property_value,injury_level,keywords,predicted_bns_sections,applicable_bnss_procedures,applicable_bsa_evidence,punishment_range,case_outcome,case_duration_months,confidence_label
CP-CASE-103192,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 218120 cash were stolen.",Theft & Burglary,Public Space,1,1,None,Accidental / Negligence,218120,None,"missing cash, locker forced, robbery",Section 305 (Theft in Dwelling),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Settled / Compromised,16,Low
CP-CASE-103193,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Digital / Online,2,2,Firearm / Pistol,Jealousy / Crime of Passion,272194,None,"held hostage, kidnap, abducted from school, unidentified vehicle, missing child",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Acquittal,38,High
CP-CASE-103194,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Public Space,1,1,Firearm / Pistol,Personal Vendetta,1791328,None,"abducted from school, ransom call, kidnap, extortion demand",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Settled / Compromised,46,Low
CP-CASE-103195,A dead body with multiple stab wounds was discovered in an abandoned building. Police suspect a pre-planned murder.,Murder & Homicide,Digital / Online,1,2,Kitchen Knife,Property Dispute,0,Fatal (Death),"motive, murder, gunshot",Section 103 (Culpable Homicide Not Amounting to Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Acquittal,6,High
CP-CASE-103196,A businessman was kidnapped from his farmhouse by armed assailants demanding INR 1178407 for his release.,Kidnapping & Abduction,Residential,2,2,Wooden Stick,Property Dispute,1178407,None,"missing child, held hostage, ransom call, abduction, kidnap",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Conviction,25,Low
CP-CASE-103197,A dead body with multiple stab wounds was discovered in an abandoned building. Police suspect a pre-planned murder.,Murder & Homicide,Residential,1,4,Country-made Gun,Property Dispute,0,Fatal (Death),"autopsy report, strangulation, poisoning",Section 101 (Murder),Section 196 (Power to Summon Persons),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,15,Medium
CP-CASE-103198,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Rural Area,3,1,Firearm / Pistol,Accidental / Negligence,1070743,None,"extortion demand, ransom call, forced custody",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Conviction,30,High
CP-CASE-103199,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Digital / Online,3,3,None,Financial Gain,1307926,None,"ransom call, extortion demand, missing child, kidnap",Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Dismissed for Lack of Evidence,38,High
CP-CASE-103200,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Digital / Online,1,2,Wooden Stick,Property Dispute,0,Fatal (Death),"scuffle, physical attack, bleeding, broken arm",Section 115 (Voluntarily Causing Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,40,Low
CP-CASE-103201,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Residential,3,3,None,Jealousy / Crime of Passion,703987,None,"locker forced, house break, missing cash, steal, jewelry",Section 305 (Theft in Dwelling),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Conviction,9,Medium
CP-CASE-103202,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Public Space,1,3,Iron Rod,Personal Vendetta,1704434,None,"held hostage, extortion demand, missing child, ransom call",Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Settled / Compromised,18,High
CP-CASE-103203,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Residential,2,2,None,Financial Gain,782929,None,"jewelry, gold chain, missing cash, steal, night burglary",Section 303 (Theft),Section 173 (Information in Cognizable Cases),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Acquittal,25,High
CP-CASE-103204,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Digital / Online,3,1,Firearm / Pistol,Personal Vendetta,1594515,None,"forced custody, extortion demand, abduction, missing child, abducted from school",Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Dismissed for Lack of Evidence,20,Low
CP-CASE-103205,A dead body with multiple stab wounds was discovered in an abandoned building. Police suspect a pre-planned murder.,Murder & Homicide,Rural Area,1,1,Iron Rod,Spontaneous Argument,0,Fatal (Death),"murder, motive, strangulation, dead body found",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Dismissed for Lack of Evidence,6,High
CP-CASE-103206,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Residential,1,2,Kitchen Knife,Accidental / Negligence,0,Moderate (Stitch/Sprain),"stab wound, beating, scuffle, bruises, physical attack",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,10,Low
CP-CASE-103207,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Residential,3,1,None,Jealousy / Crime of Passion,598685,None,"credit card fraud, forged signature, ransomware",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Referred to Mediation,24,Medium
CP-CASE-103208,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Rural Area,1,4,Firearm / Pistol,Accidental / Negligence,98904,None,"unidentified vehicle, ransom call, missing child, forced custody",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Dismissed for Lack of Evidence,11,Medium
CP-CASE-103209,Complainant was attacked while returning home. The suspect slashed the victim's shoulder with a knife before fleeing.,Assault & Hurt,Digital / Online,1,2,Chemical Poison,Financial Gain,0,Severe (Fracture/Deep Cuts),"fight, stab wound, bruises, scuffle",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Conviction,39,High
CP-CASE-103210,A dead body with multiple stab wounds was discovered in an abandoned building. Police suspect a pre-planned murder.,Murder & Homicide,Public Space,2,4,Wooden Stick,Financial Gain,0,Fatal (Death),"poisoning, gunshot, murder",Section 103 (Culpable Homicide Not Amounting to Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,37,Low
CP-CASE-103211,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 1449247.,Cyber Crime & Fraud,Residential,3,2,None,Financial Gain,1449247,None,"forged signature, cloned identity, fake profile, ransomware, email hacking",Section 319 (Cheating by Personation),Section 105 (Search and Seizure of Electronic Devices),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Dismissed for Lack of Evidence,22,Low
CP-CASE-103212,Complainant was attacked while returning home. The suspect slashed the victim's shoulder with a knife before fleeing.,Assault & Hurt,Rural Area,1,4,Chemical Poison,Jealousy / Crime of Passion,0,Fatal (Death),"bleeding, broken arm, fight, hospitalized",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,7,Low
CP-CASE-103213,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 974573 cash were stolen.",Theft & Burglary,Residential,1,2,None,Accidental / Negligence,974573,None,"night burglary, locker forced, robbery, steal",Section 331 (Lurking House-trespass),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Dismissed for Lack of Evidence,34,Medium
CP-CASE-103214,"The victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of INR 1786280 from their bank account.",Cyber Crime & Fraud,Rural Area,2,3,None,Accidental / Negligence,1786280,None,"credit card fraud, cloned identity, email hacking",Section 319 (Cheating by Personation),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Acquittal,22,Medium
CP-CASE-103215,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Public Space,2,1,Iron Rod,Accidental / Negligence,0,Fatal (Death),"dead body found, poisoning, motive, fatal attack",Section 103 (Culpable Homicide Not Amounting to Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Dismissed for Lack of Evidence,44,High
CP-CASE-103216,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Residential,3,3,None,Jealousy / Crime of Passion,1791465,None,"kidnap, extortion demand, abducted from school, abduction, forced custody",Section 142 (Kidnapping or Abducting in order to Murder),Section 184 (Medical Examination of Kidnapped Person),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Settled / Compromised,47,High
CP-CASE-103217,"The accused shot the victim following a long-standing property dispute, leading to instantaneous death.",Murder & Homicide,Residential,1,1,Kitchen Knife,Spontaneous Argument,0,Fatal (Death),"fatal attack, autopsy report, poisoning, homicide",Section 101 (Murder),Section 196 (Power to Summon Persons),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Conviction,17,High
CP-CASE-103218,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 1009345 reported.,Cyber Crime & Fraud,Digital / Online,2,3,None,Property Dispute,1009345,None,"phishing, fake website, credit card fraud",Section 319 (Cheating by Personation),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Referred to Mediation,34,High
CP-CASE-103219,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Commercial,3,1,Country-made Gun,Financial Gain,0,Fatal (Death),"broken arm, hospitalized, beating",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Referred to Mediation,19,Low
CP-CASE-103220,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 378928 reported.,Cyber Crime & Fraud,Commercial,1,4,None,Jealousy / Crime of Passion,378928,None,"fake website, cloned identity, forged signature, ransomware",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Dismissed for Lack of Evidence,14,High
CP-CASE-103221,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 1376071.,Cyber Crime & Fraud,Commercial,2,1,None,Financial Gain,1376071,None,"fake profile, fake website, unauthorized transaction, phishing, forged signature",Section 318 (Cheating),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Settled / Compromised,16,Low
CP-CASE-103222,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 578579 cash were stolen.",Theft & Burglary,Rural Area,3,3,None,Financial Gain,578579,None,"robbery, night burglary, house break, locker forced",Section 303 (Theft),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Dismissed for Lack of Evidence,27,Medium
CP-CASE-103223,Complainant was attacked while returning home. The suspect slashed the victim's shoulder with a knife before fleeing.,Assault & Hurt,Rural Area,3,4,Wooden Stick,Personal Vendetta,0,None,"physical attack, scuffle, bleeding, beating, hospitalized",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Acquittal,28,Low
CP-CASE-103224,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Digital / Online,1,4,Kitchen Knife,Personal Vendetta,0,Fatal (Death),"motive, stabbed to death, murder, strangulation, fatal attack",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Referred to Mediation,41,High
CP-CASE-103225,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 201597.,Theft & Burglary,Commercial,3,3,None,Accidental / Negligence,201597,None,"jewelry, robbery, broken lock, thief",Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Referred to Mediation,12,Low
CP-CASE-103226,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Digital / Online,2,1,Firearm / Pistol,Accidental / Negligence,0,Moderate (Stitch/Sprain),"stab wound, bruises, hospitalized, bleeding, scuffle",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Acquittal,28,Medium
CP-CASE-103227,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 215786 cash were stolen.",Theft & Burglary,Digital / Online,3,2,None,Financial Gain,215786,None,"jewelry, house break, missing cash",Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Dismissed for Lack of Evidence,46,Medium
CP-CASE-103228,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Commercial,1,1,None,Personal Vendetta,1810273,None,"credit card fraud, fake website, fake profile",Section 318 (Cheating),Section 105 (Search and Seizure of Electronic Devices),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Dismissed for Lack of Evidence,31,Medium
CP-CASE-103229,"The victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Assault & Hurt,Rural Area,1,4,Chemical Poison,Jealousy / Crime of Passion,0,Minor (Scratches/Bruises),"beating, bruises, stab wound",Section 115 (Voluntarily Causing Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Referred to Mediation,6,Low
CP-CASE-103230,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Residential,2,4,Chemical Poison,Accidental / Negligence,0,Minor (Scratches/Bruises),"beating, bruises, hospitalized",Section 115 (Voluntarily Causing Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Conviction,10,Low
CP-CASE-103231,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Commercial,1,1,None,Accidental / Negligence,1429222,None,"steal, jewelry, house break",Section 305 (Theft in Dwelling),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Conviction,28,High
CP-CASE-103232,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Public Space,2,2,Iron Rod,Spontaneous Argument,1766514,None,"unidentified vehicle, held hostage, forced custody, missing child, ransom call",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Acquittal,19,Medium
CP-CASE-103233,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Residential,2,4,Wooden Stick,Spontaneous Argument,1141423,None,"forced custody, extortion demand, abducted from school, ransom call",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Dismissed for Lack of Evidence,22,High
CP-CASE-103234,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Commercial,3,2,Wooden Stick,Spontaneous Argument,0,Moderate (Stitch/Sprain),"beating, bruises, iron rod, fight, stab wound",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Acquittal,41,High
CP-CASE-103235,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Public Space,3,3,Wooden Stick,Spontaneous Argument,0,Moderate (Stitch/Sprain),"physical attack, scuffle, stab wound, iron rod, hospitalized",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Conviction,27,Low
CP-CASE-103236,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Digital / Online,1,1,Wooden Stick,Personal Vendetta,0,Severe (Fracture/Deep Cuts),"fight, hospitalized, beating, scuffle, iron rod",Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Acquittal,40,Medium
CP-CASE-103237,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 1391675 reported.,Cyber Crime & Fraud,Digital / Online,1,2,None,Jealousy / Crime of Passion,1391675,None,"forged signature, ransomware, credit card fraud, fake website, fake profile",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Conviction,42,High
CP-CASE-103238,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Commercial,2,4,Chemical Poison,Jealousy / Crime of Passion,0,Minor (Scratches/Bruises),"bruises, hospitalized, fight",Section 115 (Voluntarily Causing Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Referred to Mediation,31,Medium
CP-CASE-103239,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 1499251 cash were stolen.",Theft & Burglary,Commercial,1,1,None,Property Dispute,1499251,None,"locker forced, gold chain, broken lock",Section 331 (Lurking House-trespass),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Conviction,26,Medium
CP-CASE-103240,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Public Space,2,1,Wooden Stick,Financial Gain,1050336,None,"unidentified vehicle, ransom call, abducted from school, kidnap",Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Dismissed for Lack of Evidence,14,Low
CP-CASE-103241,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Public Space,1,4,Chemical Poison,Spontaneous Argument,0,Fatal (Death),"autopsy report, gunshot, dead body found",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,23,Medium
CP-CASE-103242,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Public Space,2,2,None,Jealousy / Crime of Passion,1488847,None,"robbery, jewelry, night burglary",Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Settled / Compromised,40,Medium
CP-CASE-103243,"The victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of INR 700701 from their bank account.",Cyber Crime & Fraud,Public Space,1,2,None,Personal Vendetta,700701,None,"ransomware, fake profile, credit card fraud",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Acquittal,11,High
CP-CASE-103244,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Digital / Online,1,2,Chemical Poison,Personal Vendetta,514898,None,"kidnap, abducted from school, extortion demand",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Dismissed for Lack of Evidence,33,Low
CP-CASE-103245,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 1720895 cash were stolen.",Theft & Burglary,Digital / Online,3,2,None,Property Dispute,1720895,None,"thief, locker forced, missing cash",Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Conviction,48,Low
CP-CASE-103246,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Commercial,2,2,Wooden Stick,Jealousy / Crime of Passion,0,Fatal (Death),"poisoning, murder, strangulation, autopsy report, homicide",Section 101 (Murder),Section 196 (Power to Summon Persons),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Conviction,18,High
CP-CASE-103247,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 466038.,Cyber Crime & Fraud,Residential,2,3,None,Spontaneous Argument,466038,None,"ransomware, unauthorized transaction, email hacking, online scam",Section 319 (Cheating by Personation),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Settled / Compromised,33,Medium
CP-CASE-103248,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Digital / Online,3,2,Iron Rod,Financial Gain,0,None,"physical attack, stab wound, hospitalized, beating, fight",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Acquittal,20,High
CP-CASE-103249,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Rural Area,2,1,Iron Rod,Spontaneous Argument,1762232,None,"missing child, extortion demand, kidnap, abducted from school, unidentified vehicle",Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Acquittal,35,High
CP-CASE-103250,A businessman was kidnapped from his farmhouse by armed assailants demanding INR 592243 for his release.,Kidnapping & Abduction,Commercial,3,4,Kitchen Knife,Property Dispute,592243,None,"unidentified vehicle, kidnap, abduction, forced custody, held hostage",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Settled / Compromised,24,Low
CP-CASE-103251,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 659528.,Theft & Burglary,Public Space,3,4,None,Financial Gain,659528,None,"robbery, thief, gold chain, house break",Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Acquittal,46,Medium
CP-CASE-103252,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Public Space,3,3,None,Personal Vendetta,0,Fatal (Death),"fight, hospitalized, bleeding, physical attack",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Settled / Compromised,9,Low
CP-CASE-103253,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Residential,3,3,Country-made Gun,Accidental / Negligence,211342,None,"missing child, abduction, unidentified vehicle",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Settled / Compromised,12,Medium
CP-CASE-103254,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 14311 reported.,Cyber Crime & Fraud,Residential,3,3,None,Financial Gain,14311,None,"cloned identity, fake website, fake profile, credit card fraud",Section 318 (Cheating),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Referred to Mediation,46,High
CP-CASE-103255,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Rural Area,2,4,Country-made Gun,Spontaneous Argument,0,Fatal (Death),"stabbed to death, motive, murder, fatal attack, dead body found",Section 103 (Culpable Homicide Not Amounting to Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Conviction,25,Medium
CP-CASE-103256,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Public Space,2,4,Kitchen Knife,Spontaneous Argument,0,Moderate (Stitch/Sprain),"iron rod, stab wound, bleeding",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,30,Low
CP-CASE-103257,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Residential,2,3,Iron Rod,Spontaneous Argument,0,Fatal (Death),"strangulation, motive, fatal attack",Section 103 (Culpable Homicide Not Amounting to Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Conviction,25,Medium
CP-CASE-103258,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Rural Area,2,2,Wooden Stick,Spontaneous Argument,0,Fatal (Death),"stabbed to death, dead body found, motive, strangulation, gunshot",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Conviction,11,High
CP-CASE-103259,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Digital / Online,3,1,Wooden Stick,Financial Gain,426958,None,"ransom call, unidentified vehicle, extortion demand",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Dismissed for Lack of Evidence,47,Medium
